SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz301226,20230811,20230810,1.088,1.088,24,807.54588183
sz301227,20230811,20230810,0.948,0.948,31.19,807.54588183
sz301229,20230811,20230810,0.8,0.8,32.18,807.54588183
sz301230,20230811,20230810,1.07622666,1.07622666,46.99,807.54588183
sz301231,20230811,20230810,0.844,0.844,33.74,807.54588183
sz301233,20230811,20230810,0.5147,0.5147,39.96,807.54588183
sz301236,20230811,20230810,9.52941177,9.52941177,24.45,807.54588183
sz301238,20230811,20230810,7.333333,7.333333,20.58,807.54588183
sz301248,20230811,20230810,1.53705,1.53705,21.16,807.54588183
sz301255,20230811,20230810,1.088,1.088,43.05,807.54588183
sz301260,20230811,20230810,4.86161968,4.86161968,22.33,807.54588183
sz301265,20230811,20230810,3.02973182,3.02973182,12.45,807.54588183
sz301276,20230811,20230810,1.08,1.08,27.4,807.54588183
sz301277,20230811,20230810,2.0004,2.0004,22.48,807.54588183
sz301278,20230811,20230810,0.832,0.832,57.28,807.54588183
sz301282,20230811,20230810,1.51139968,1.51139968,27.44,807.54588183
sz301285,20230811,20230810,2.0667,2.0667,13.67,807.54588183
sz301298,20230811,20230810,1.468,1.468,15.6,807.54588183
sz301299,20230811,20230810,0.6,0.6,77.96,807.54588183
sz301303,20230811,20230810,2.92,2.92,24.6,807.54588183
sz301308,20230811,20230810,4.12864254,4.12864254,79.96,807.54588183
sz301311,20230811,20230810,2.4,2.4,25.07,807.54588183
sz301312,20230811,20230810,0.62576643,0.62576643,83.15,807.54588183
sz301313,20230811,20230810,1.023334,1.023334,41.67,807.54588183
sz301316,20230811,20230810,4.0001,4.0001,34.95,807.54588183
sz301318,20230811,20230810,1.04118,1.04118,33.03,807.54588183
sz301326,20230811,20230810,0.72192828,0.72192828,38.01,807.54588183
sz301327,20230811,20230810,1.248,1.248,79.67,807.54588183
sz301330,20230811,20230810,1.93039666,1.93039666,32.88,807.54588183
sz301336,20230811,20230810,0.4,0.4,47.77,807.54588183
sz301338,20230811,20230810,1.064,1.064,40.2,807.54588183
sz301339,20230811,20230810,4.07,4.07,23.28,807.54588183
sz301345,20230811,20230810,1.093336,1.093336,50.64,807.54588183
