SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz301219,20230727,20230726,2.94717182,2.94717182,39.05,806.98694245
sz301221,20230727,20230726,0.926223,0.926223,58.73,806.98694245
sz301226,20230727,20230726,1.088,1.088,25.51,806.98694245
sz301236,20230727,20230726,9.52941177,9.52941177,22.94,806.98694245
sz301248,20230727,20230726,1.53705,1.53705,20.77,806.98694245
sz301255,20230727,20230726,1.088,1.088,44.8,806.98694245
sz301257,20230727,20230726,0.60975,0.60975,54.99,806.98694245
sz301260,20230727,20230726,4.86161968,4.86161968,22.97,806.98694245
sz301263,20230727,20230726,4.254975,4.254975,20.11,806.98694245
sz301265,20230727,20230726,3.02973182,3.02973182,12.96,806.98694245
sz301270,20230727,20230726,1,1,45.88,806.98694245
sz301276,20230727,20230726,1.08,1.08,27.92,806.98694245
sz301278,20230727,20230726,0.832,0.832,58.84,806.98694245
sz301279,20230727,20230726,1,1,26.28,806.98694245
sz301280,20230727,20230726,0.977001,0.977001,36.45,806.98694245
sz301281,20230727,20230726,1.0829,1.0829,29.51,806.98694245
sz301285,20230727,20230726,2.0667,2.0667,15.1,806.98694245
