SecuCode,Cur_TradingDay,updatetime,Ltg,preLtg,pre_cp,net0
sz000988,20230814,20230811,10.05502707,10.05502707,33.34,788.67377025
sz000993,20230814,20230811,4.57951455,4.57951455,10.37,788.67377025
sz001203,20230814,20230811,15.08021588,15.08021588,11.12,788.67377025
sz001207,20230814,20230811,2.02421464,2.02421464,15.7,788.67377025
sz001209,20230814,20230811,1.3152272,1.3152272,16.41,788.67377025
sz001210,20230814,20230811,1.08897692,1.08897692,21.84,788.67377025
sz001212,20230814,20230811,1.17871,1.17871,24.98,788.67377025
sz001223,20230814,20230811,0.6668,0.6668,77.77,788.67377025
sz001225,20230814,20230811,0.646668,0.646668,43.95,788.67377025
sz001228,20230814,20230811,1.03864609,1.03864609,38.4,788.67377025
sz001260,20230814,20230811,1.15,1.15,20.91,788.67377025
sz001266,20230814,20230811,1.03416,1.03416,26.07,788.67377025
sz001278,20230814,20230811,1.237334,1.237334,21.68,788.67377025
sz001287,20230814,20230811,7.59900097,7.59900097,25.4,788.67377025
sz001289,20230814,20230811,50.41934164,50.41934164,19.5,788.67377025
sz001298,20230814,20230811,1.392,1.392,22.7,788.67377025
sz001301,20230814,20230811,2.597746,2.597746,57.61,788.67377025
sz001308,20230814,20230811,6.80203875,6.80203875,25.06,788.67377025
sz001309,20230814,20230811,1.1224752,1.1224752,72.59,788.67377025
sz001311,20230814,20230811,1.83733334,1.83733334,49.9,788.67377025
sz001314,20230814,20230811,1.419991,1.419991,37.64,788.67377025
sz001317,20230814,20230811,0.8004,0.8004,36.18,788.67377025
sz001318,20230814,20230811,2.8266,2.8266,14.16,788.67377025
sz001322,20230814,20230811,9.70122,9.70122,17.23,788.67377025
sz001328,20230814,20230811,1.721738,1.721738,34.67,788.67377025
sz001337,20230814,20230811,4.2,4.2,31.99,788.67377025
sz001338,20230814,20230811,5.01730834,5.01730834,16.85,788.67377025
sz001339,20230814,20230811,2.49157,2.49157,25.79,788.67377025
sz001360,20230814,20230811,2.04,2.04,17.66,788.67377025
sz001366,20230814,20230811,1.6068,1.6068,16.21,788.67377025
sz001367,20230814,20230811,0.68,0.68,51.86,788.67377025
sz001368,20230814,20230811,1.12,1.12,25.17,788.67377025
sz001872,20230814,20230811,23.19179231,23.19179231,16.11,788.67377025
sz002008,20230814,20230811,10.52185125,10.52185125,23.9,788.67377025
sz002009,20230814,20230811,3.80641934,3.80641934,12.5,788.67377025
sz002030,20230814,20230811,14.03446032,14.03446032,10.1,788.67377025
sz002036,20230814,20230811,10.68851596,10.68851596,10.4,788.67377025
sz002039,20230814,20230811,4.27558126,4.27558126,13.86,788.67377025
sz002041,20230814,20230811,8.8,8.8,15.75,788.67377025
sz002043,20230814,20230811,8.39806372,8.39806372,10.64,788.67377025
sz002045,20230814,20230811,4.68383913,4.68383913,13.72,788.67377025
sz002049,20230814,20230811,8.49618566,8.49618566,89.5,788.67377025
sz002053,20230814,20230811,9.20729464,9.20729464,11.06,788.67377025
sz002056,20230814,20230811,16.26712074,16.26712074,17.04,788.67377025
sz002066,20230814,20230811,2.31,2.31,11.28,788.67377025
sz002077,20230814,20230811,5.80348513,5.80348513,14.97,788.67377025
sz002079,20230814,20230811,8.07886616,8.07886616,12.21,788.67377025
sz002080,20230814,20230811,16.78123584,16.78123584,21.41,788.67377025
sz002090,20230814,20230811,4.04264936,4.04264936,11.11,788.67377025
sz002095,20230814,20230811,2.5272,2.5272,20.9,788.67377025
sz002101,20230814,20230811,5.28878866,5.28878866,18.03,788.67377025
sz002112,20230814,20230811,2.6208,2.6208,11.35,788.67377025
sz002116,20230814,20230811,4.28220696,4.28220696,12.14,788.67377025
sz002119,20230814,20230811,3.75284,3.75284,12.32,788.67377025
sz002123,20230814,20230811,8.0219628,8.0219628,15.16,788.67377025
sz002125,20230814,20230811,6.29481713,6.29481713,11.64,788.67377025
sz002129,20230814,20230811,40.42443902,40.42443902,28.35,788.67377025
sz002139,20230814,20230811,12.69535372,12.69535372,11.4,788.67377025
sz002150,20230814,20230811,3.56517053,3.56517053,15.65,788.67377025
sz002151,20230814,20230811,5.44159258,5.44159258,31.66,788.67377025
sz002153,20230814,20230811,27.29193841,27.29193841,13.61,788.67377025
sz002159,20230814,20230811,1.77301325,1.77301325,15.9,788.67377025
